"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
PRESTIGE NEPTUNES COURTYARD,Prestige neptunes courtyard is an exclusive community that offers ultra luxury homes for the very upper crust. Set amidst the vast backwaters of kochi,Kochi,Marine Drive,3 Bds , 3 Ba , 2223 ft2,"₹ 1,99,00,000"
PANAMPILLYNAGAR PREMIUM 3 BHK FLAT FOR SALE,"3 BHK Unfurnished 2059 Sqft Premium flat in Panampilly Nagar main Avenue All Amenities available  Swimming Pool,24*7 Security,Power Backup,24 Hours water supply,CCTV,Free Sprinklers,Gated Community, Gymnasium, Indoor Games, Landscape and Garden and Tree Planting , Sewage Treatment Plant ,Health Facilities, Rate - 1,10 Cr  ( Negotiable) For More Details",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 2159 ft2,"₹ 1,10,00,000"
House for lease at palluruthy,House for lease at palluruthy,Kochi,Palluruthy,2 Bds , 1 Ba , 650 ft2,"₹ 8,00,000"
2 bhk house for sale @ palluruthy,3.35 cents  House included  24 lakhs,Kochi,Edakochi,2 Bds , 1 Ba , 800 ft2,"₹ 24,00,000"
2 Bhk Plus Study Flat for Sale Kacheripady Ernakulam,2 Bhk Plus Study Flat for Sale Kacheripady Ernakulam.,Kochi,Kacheripady,2 Bds , 2 Ba , 1100 ft2,"₹ 50,00,000"
2 cent house sale,No brokerage,Kochi,Edakochi,2 Bds , 2 Ba , 650 ft2,"₹ 24,00,000"
hall for rent,"Hall at top, Rs 1750 per head , kitchen,bathroom no bedroom",Kochi,Palluruthy,1 Bds , 1 Ba , 700 ft2,"₹ 10,000"
"3BHK Semifurnished Flat in Elamkulam, Kadavanthra,1880sqft","3BHK, 1880sft Semi furnished flat 750 meters  from Elamkulam Metro front, ground +7floor, Second floor, flat made of red bricks ,3 side ventilation  (each floor 2 apartments)   Price :76Lakhs  700/7560",Kochi,Kadavanthara,3 Bds , 3 Ba , 1880 ft2,"₹ 76,00,000"
"3 BHK Semi Furnished Flat in Kadavanthra, 1263sqft","1263 sqft, 3 BHK semi furnished flat near Subash Chandra Bose Road Kadavanthara, 3rd floor. 3/3, 10 + years,Corporation water. Covered car parking.  Price: 57 Lakhs 700/7492",Kochi,Kadavanthra,3 Bds , 3 Ba , 1263 ft2,"₹ 55,00,000"
KALYAN MARVELLA 2036SQFT APARTMENT FOR SALE,Kalyan Marvella is our Luxury apartment project in Girinagar Kochi. Own your dream home in kochi from the most trusted name in town.,Kochi,Kadavanthara,3 Bds , 3 Ba , 2036 ft2,"₹ 1,50,00,000"
1780 sq ft Furnished Flat Ayyappankavu Kacheripady,1780 sq ft Furnished Flat Ayyappankavu Kacheripady. Price 1 Cr,Kochi,Kacheripady,3 Bds , 3 Ba , 1780 ft2,"₹ 1,00,00,000"
3417 sqft apartment for sale purva oceana marine drive,"Purva Oceana apartments in Kochi are for those who know how to celebrate life in style and enjoy little indulgences that matter. These are spacious apartment units to match your grand lifestyle located on Marine Drive in Kochi.""",Kochi,Marine Drive,3 Bds , 3 Ba , 3415 ft2,"₹ 2,85,00,000"
Luxury flat for sale at Kadavanthra,1860sqft 3 bhk flat for sale at Kadabanthra prime location. Asking 1.48cr,Kochi,Kadavanthra,3 Bds , 3 Ba , 1860 ft2,"₹ 1,48,00,000"
3bhk Appartment for sale at Panampilly Nagar,1200sqft 3bhk appartment for sale at Panampilly Nagar.,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1200 ft2,"₹ 73,00,000"
Furnished apartment for sale at Panampilly Nagar,1550sqft 3bhk furnished New apartment for sale at Panampilly Nagar. Asking price 1.20cr,Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1550 ft2,"₹ 1,20,00,000"
1bhk flat for sale At kacherripady,1bhk flat for sale At kacherripady,Kochi,Kacheripady,1 Bds , 1 Ba , 800 ft2,"₹ 26,00,000"
Marine drive Fully water frontage 1900 sqft fully furnished flat flat,Pioneer Swapnil Enclave Marine drive kochi  1900 sq feet 3 bhk fully furnished flat for Resale ready to move with all furnitures and fixtures  Fully Air condition also  NRI OWNED FLAT Well maintained flat Total 3 bedrooms attached bathrooms plus one servant bathroom also near by kitchen  Servant having aditional entrance  having two specious  balcony fully water frontage vew to  bolgaty island beautiful view  It is corner property having Road view and high court side  This property more than 15 years old Well maintained project  all pictures attached with this add kindly watch it interested parties only contact following number 9️⃣4️⃣4️⃣7️⃣1️⃣5️⃣5️⃣0️⃣6️⃣1️⃣,Kochi,Marine Drive,3 Bds , 4 Ba , 1950 ft2,"₹ 1,50,00,000"
"2BHK House For Sale at Kumblanghi Vazhi, Palluruthy","House for Sale  Near Eranattu Devi Temple, Palluruthy, Kochi. House is situated on a 3 cent Land House 100m from Koventha Church & Bus Stop. 750m from St. Juliana's School For more details Please Contact Me.",Kochi,Perumpadappu,2 Bds , 2 Ba , 770 ft2,"₹ 42,00,000"
House for sale,Financial issues,Kochi,Palluruthy,3 Bds , 3 Ba , 1100 ft2,"₹ 50,00,000"
5000SQFT COMMERCIAL CUM RESIDENTIAL BUILDING FOR SALE IN KADAVANTHRA,5000sqft Commercial cum Residential building on 8.5 cents land for sale in Kadavanthra. Near KP vallon road. 1KM from Kadavanthra Junction. Asking price ₹ 3.75Cr  Ground  floor 4 rooms with attached toilet 2 shops/office 2 commercial corporation number 1 residential corporation number 1 public toilet 21 meter open road frontage for parking Multiple road entry Backside car parking facility —————————————— First floor 5 independent rooms and attached toilets Open terrace Big passage  Utility area ————————— 2nd floor Apartment  2 Bed rooms and attached toilet Study room Guest toilet Open  living dining and kitchen ———————— Highlights Option for lift Solar water facility  8000 ltr water storage  AVS REALTORS & FINANCIAL CONSULTANCY (Property Developers & Consultants) ⑨⓪⑦④⑥⓪⑧⓪⑧⓪ BROKERS PLEASE DO EXCUSE.,Kochi,Kadavanthra,4+ Bds , 4+ Ba , 5000 ft2,"₹ 3,75,00,000"
Asset Le Grande 3 bhk apartment for sale,"For those who think, live and breath a life style of grandeur, Asset Homes presents Asset Le Grande at the poshest residential area of Kochi-Jawahar Nagar.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1640 ft2,"₹ 1,35,00,000"
2bhk 1180sq. Ft laxury flat sale kadavanthra 62lakhs,"2bhk 1180sq. Ft laxury flat sale kadavanthra 62lakhs Swimming pool Lift, security, powerback up, gym,covered parking  There will be all kinds of support from our side till the registration is completed.  Time wasters don't call me Genuine buyers call me  No brokerage and service charge  Brokers excuse  Call me 7️⃣0️⃣2️⃣5️⃣6️⃣2️⃣9️⃣3️⃣3️⃣9️⃣",Kochi,Kadavanthra,2 Bds , 2 Ba , 1180 ft2,"₹ 62,00,000"
OLD HOUSE FOR SALE!,5 cent Plot with incompleted house is for sale  Twowheeler pocket road.,Kochi,Kadavanthara,3 Bds , 2 Ba , 800 ft2,"₹ 60,00,000"
"BUDGETED APARTMENT FOR SALE AT KOCHI, VYPIN","BUDGETED APARTMENT FOR SALE AT KOCHI, VYPIN. K-RERA/PRJ/215/2020",Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 42,00,000"
HOUSE FOR SALE,THOPPUMPADY,Kochi,Thopumpady,3 Bds , 2 Ba , 1100 ft2,"₹ 30,00,000"
PURVA GRANDBAY 3 BHK FULLY FURNISHED APARTRMENT FOR SALE,"Own your dream home with Purva Grandbay - 3 BHK luxury apartments located in Marine Drive, Kochi. Spacious homes with world-class amenities.",Kochi,Marine Drive,3 Bds , 3 Ba , 1900 ft2,"₹ 1,78,00,000"
3 BHK Apartment Near Vyttila - Kadavanthra Road,"> Walkable distance to SA Road and Subhash Chandra Bose Road.  > Excellent Location, Quality Construction.  > One Automatic Bed Lift  > 24 hr Generator backup with AMF  > Bio-metric access control on main entry > CCTV Surveillance on gates and main entry  > Retriculated gas supply system  > Provison for cable TV / DTH  > Reserved car parking  If you are interested please contact us for further details and apartment visit.",Kochi,Kadavanthra,3 Bds , 3 Ba , 1265 ft2,"₹ 79,00,000"
Furnished 3 BHK Flat - Kaloor,Furnished 3 BHK flat for sale at Kaloor - Lissie Metro Station. Pls contact for more details and apartment visit. Agents Pls Excuse,Kochi,MG Road,3 Bds , 3 Ba , 1582 ft2,"₹ 79,00,000"
Posh Villa for sale in Kadavanthra,3700  sqft posh villa for sale in Kadavanthra. Walkable distance to Kadavanthra Junction and Elamkulam Metro station. Well designed interiors with spacious rooms located in peaceful residential area. Genuine owners may contact. Brokers please excuse.,Kochi,Kadavanthra,4 Bds , 4 Ba , 3700 ft2,"₹ 4,80,00,000"
3 Bedroom Twin House Unit at Pallissery Junction Palarivattam.,"3 Bedroom Twin House Unit at Pallissery Junction, Puthiya Road, Palarivattam. Land Area - 3.6 Cents Building Area -960 Sqft Ground + 1 storied Building 3 Bedrooms Just 50 Mtrs from Junction. 130 Mtrs from NH 66.  Pls call for more details and apartment  visit. Agents Pls Excuse",Kochi,Kadavanthara,3 Bds , 3 Ba , 958 ft2,"₹ 70,00,000"
"3 BHK Twin Apartment - NH 66, Puthiya Road.","> 130 Mtrs from Highway  > Spacious Road Access  > Twin House with one sharing wall  > 3.6 Cents land area  > 950 Sqft building  > 3 Bedrooms  > Suitable for office cum residential space.  > Easy access to Palarivattam, Thammanam,Edappally & Vyttila.  If you are interested please contact us for further details and apartment visit.",Kochi,Kadavanthara,3 Bds , 3 Ba , 960 ft2,"₹ 70,00,000"
"Three Bedrooms New Flat for Sale - Alinchuvadu, Palarivattam,Kochi.","3 BHK Flat - Palarivattam  Just 500 Mtrs from NH 66 Bypass.  Easy access to Palarivattam, Kakkanad, Vyttila, Edappally etc  Easy Access to school, Church,Hospital,Bus stop etc  Floors - 1st out of 14 Floors  Bedrooms - 3  Bathrooms -3  Area - 1438  Amenities - Health Club  Swimming Pool  Indoor Games Area  Landscaped Terrace Garden  Centralized Gas Connection  Cost of Apartment - 88 Lakhs + Registration",Kochi,MG Road,3 Bds , 3 Ba , 1438 ft2,"₹ 88,00,000"
"3 Bedrooms Semi furnished Unused Flat- Chakkaraparambu, Vyttila","Location : Chakkaraparambu, Vyttila - Palarivattam Bypass Distance from NH 66 - 1.2 Kms Distance from Vyttila - 3 Kms Distance to Kakkanad - 3.5 Kms Area : 1650 Sqft Bedrooms : 3 Bathrooms : 3 Balconies : 3 Furnishing : Semi furnished. Floor : 6th  out of 6 Floors Covered Carpark : 1  Age of Building : 9-  10 Year Society Registration : Yes Monthly Maintanance : 2500 Security : Security cum Caretaker Power Backup : Yes Water Source : Corporation & Well  Gymnasium : Yes Party Hall : Rooftop Covered Party Area Children's Play Area : Yes Waste Management : Yes",Kochi,Kadavanthara,3 Bds , 3 Ba , 1650 ft2,"₹ 78,00,000"
"3 BHK Furnished Flat Near Lissie Junction, Kaloor",">  Ready to occupy resale flat.  >  Fully Furnished   > Prime location  > Walkable distance to Metro and Bus     route.   > Branded builder.  >  Spacious carpark.  > Amenities like Gym, swimming pool...  > Security and cc tv camara  Genuine buyers Pls call me for visiting the apartment.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1582 ft2,"₹ 79,00,000"
"3 BHK Flat - Lissie Junction, Kaloor","> Excellent proximity to city destinations > Walkable distance to Metro station > 10 Years Old well maintained flat > Covered carpark > Amenities like swimming pool, health Club etc > Quality construction > Fully furnished  If You are interested pls contact for more details. Agents Pls Excuse",Kochi,MG Road,3 Bds , 3 Ba , 1582 ft2,"₹ 80,00,000"
Semi furnished flat for Sale Near Thripunithura,* Ready to move project * All major Banks approved project * Easy Acess to all Area,Kochi,Kadavanthra,3 Bds , 3 Ba , 1380 ft2,"₹ 75,00,000"
2 bhk house for sale @palluruthi,2 bhk house for sale @palluruthi,Kochi,Palluruthy,2 Bds , 1 Ba , 1000 ft2,"₹ 42,00,000"
An house for sale at thevara,8.5 cent 3500sqf 5 bed room with bath attached old 4 cr at thevara 8️⃣1️⃣2️⃣9️⃣3️⃣9️⃣8️⃣1️⃣4️⃣1️⃣,Kochi,Thevara,4+ Bds , 4+ Ba , 5000 ft2,"₹ 4,00,00,000"
"5000sqft, building,kadavanthra,panambily nagar","Total 3 floors. Each floor 2 flats.  Fully furnished with tv, wooden setty, dining table with 6 chairs, battery inverter power back up, fridge, washing machine, gas stove with cylinder, bedroom ac, steel wardrobe, 2 family coat with beds, 5 car parking.  Total land 9.5 cents.  Metro station, south railway station, bus stop, main super markets, are just 1 km around. Bavans school just 200 Mtrs. Good location. Good rental    Income. Expected price 3.5 cr.",Kochi,Kadavanthra,4+ Bds , 4+ Ba , 5200 ft2,"₹ 3,00,00,000"
6 bhk house for sale @thoppumpadi,6 bhk house for sale @thoppumpadi,Kochi,Thopumpady,4+ Bds , 4+ Ba , 3500 ft2,"₹ 1,85,00,000"
Ground floor,"Ground floor rent paraking availabe,near kmp  junction, sn lain ,thangal nagar",Kochi,Palluruthy,3 Bds , 2 Ba , 850 ft2,"₹ 10,000"
2500 sqft fully furnished posh flat at panmpilly nagar.,2500 sqft fully furnished posh flat at panmpilly nagar.Brokers please excuse . For more details contact .,Kochi,Panampilly Nagar,3 Bds , 4 Ba , 2500 ft2,"₹ 2,00,00,000"
FULLY WATERFRONT APARTMENT FOR SALE,"Elegantly designed and imaginatively space-engineered, Marine Plaza consists of 2 and 3-bedroom super-luxury apartments for sale in kochi",Kochi,Marine Drive,3 Bds , 3 Ba , 1500 ft2,"₹ 1,75,00,000"
Apartment For Sale at Vypin,"Apartment For sale Near High Court, K-RERA/PRJ/215/2020",Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 42,50,000"
19 cent Luxury old 4000 sq fully furnished house Eranakulam kacheripad,19 cents original land with 4000 sqfts fully furnished old Luxury house at Eranakulam kacheripady.MG road and Banerji Road 250 mtrs.High Court 500 mtrs.10 car parking . Asking only land cost.See profile for more properties.Bro Excuse.,Kochi,Kacheripady,4+ Bds , 4+ Ba , 4200 ft2,"₹ 4,75,00,000"
"Luxury Gated Villa For Sale At near Civil Station , Kakkanad.","2400Sqft , 4Bhk , 4bathroom , Semifinished For Sale At Near Civil Station , Kakkanad .",Kochi,Kadavanthra,4 Bds , 4+ Ba , 2400 ft2,"₹ 1,55,00,000"
House for sale in fort Cochin near kokers,House for sale in fort Cochin near kokers theatre,Kochi,Fort Kochi,2 Bds , 2 Ba , 1500 ft2,"₹ 70,00,000"
3BHK Near Medical Trust,"Spacious hall, covered cabinets on all 3 bedrooms and kitchen, separate Puja Room, vitrified tiles, corporation water, 3phase electricity. Very near to Medical Trust, Metro station, Mg Road, South Railway station and Ravipuram. Ready to occupy. 27 years old building. Tentative car parking. Rate slightly negotiable.",Kochi,Ravipuram,3 Bds , 2 Ba , 900 ft2,"₹ 45,00,000"
2 BHK FLAT FOR SALE IN KADAVANTRA ( 45 LACS ),"2 BHK Semi Furnished Flat in Kadavantra, Very easy access to Panampilly Nagar,Thevara,MG Road Near by Supermarket,Bavans School , Coffee shops etc etc Asking 45 Lakhs",Kochi,Kadavanthra,2 Bds , 2 Ba , 1050 ft2,"₹ 45,00,000"
KADAVANTRA 42 LAKHS 2 BHK APARTMENT FOR SALE,"2 BHK SEMI FURNISHED APARTMENT FOR SALE IN KADAVANTRA NEAR GIRIDHAR EYE HOSPITAL  LIFT ,POWER BACKUP AVAILABLE  EASY ACCESS TO PANAMPILLY NAGAR ALL DAILY NEEDS SHOPS & SCHOOL NEAR BY ASKING - 42 LAKHS FOR MORE DETAILS",Kochi,Kadavanthra,2 Bds , 2 Ba , 1050 ft2,"₹ 42,00,000"
House for Sale in Chullickal,"House for sale in chullickal 2 Floor 3 Bedroom(3Attached bathroom) Ground floor- Hall, kitchen, 1 bedroom, bathroom 1st floor- 2 Bedrooms, balcony Second floor- Roofed with Aluminium sheet 50 meter from main road 2 cents Near by Temple, church, mosque Good residential area Two wheeler access, (2 Two wheeler park)",Kochi,Chullickal,3 Bds , 3 Ba , 1050 ft2,"₹ 48,00,000"
"Three Bedrooms Semi Furnished Flat - Kumaranasan Nagar, Kadavanthra","Ready to occupy new 3 BHK semi furnished Flat at Kumaranasan Nagar, Kadavanthra for immediate sale. Genuine buyers looking for immediate sale please contact for site visit.  Agents Pls Excuse",Kochi,MG Road,3 Bds , 3 Ba , 1230 ft2,"₹ 65,00,000"
3 BHK Budget Apartment - Kadavanthra,Ready to occupy 3 bedrooms semi furnished new apartment for sale at Kadavanthra. Just 500 mtrs from Kadavanthra  Kaloor main road. Please contact for apartment visit and further details. Agents Pls Excuse,Kochi,Kadavanthra,3 Bds , 2 Ba , 1232 ft2,"₹ 57,00,000"
3 Bedrooms Budget Apartment - Near Kadavanthra,Location : Near Kadavanthra Area : 1232 Sqft Land Share : 1 Cent Bedrooms : 3 Bathrooms : 2 Balconies : 4 Furnishing : No Floor : 3rd out of 6 Floors Covered Carpark : 1  Age of Building : 2 Year Society Registration : Yes Monthly Maintanance : 2500 Security : Security cum Caretaker Lift : Bed lift Power Backup : Yes Water Source : Corporation & Well  Gymnasium : No Party Hall : Rooftop Covered. Children's Play Area : No Waste Management : Yes,Kochi,Kadavanthara,3 Bds , 2 Ba , 1232 ft2,"₹ 57,00,000"
"3 BHK Quality Apartment - Palarivattam, Vennala","Ready to occupy new 3 bedrooms apartment near Vennala, Palarivattam. The project is just 300 mtrs from Vennala Junction and 1.5 Kms from Medical Center Hospital and NH 66. Vyttila is 5.5 Kms away from the project and Edappally is 3.9 Kms.   The project offers excellent building quality and branded fittings with affordable price tag.  Pls contact for further information and project visit.",Kochi,MG Road,3 Bds , 4 Ba , 1632 ft2,"₹ 82,00,000"
Furnished 3 Bedrooms Flat for Sale at Kaloor,> Ready to Occupy. > Walkable Distance to Main Road and Metro    Station. > Fully Furnished Resale Flat. > Premium Amenities and Features. > Covered Carpark.  If you are interested pls contact us for further details and project visit.,Kochi,Kacheripady,3 Bds , 3 Ba , 1582 ft2,"₹ 79,00,000"
"Fully Furnished 3 Bedrooms Flat for Sale at Lissie Junction, Kaloor","3 BHK Furnished Flat - Lissie Junction, Kaloor Location : Near Lissie Metro Station, Kaloor Area : 1582 Sqft Bedrooms : 3 Bathrooms : 2 Balconies : 3 Furnishing : Fully Furnished Floor : 8th out of 14 Floors Covered Carpark : 1  Age of Building : 9-10 Years Society Registration : Yes Monthly Maintanance : 3000 Security : Security cum Caretaker Power Backup : Yes Water Source : Corporation  Gymnasium : Yes Swimming Pool -Yes Children's Play Area : Yes Waste Management : Yes",Kochi,MG Road,3 Bds , 3 Ba , 1581 ft2,"₹ 79,00,000"
House For Sale,5 സെന്റ് സ്ഥലം 3 bhk ഇരുനില വീട് എറണാകുളം സൗത്തിൽ   റെയിൽവേ സ്റ്റേഷൻ മെട്രോ സ്റ്റേഷൻ ബസ്റ്റോപ്പ് സ്കൂൾ കോളേജ് പള്ളി അമ്പലം ആശുപത്രി ഒരു കിലോമീറ്റർ ചുറ്റളവിൽ  കൂടുതൽ വിവരങ്ങൾ അറിയാൻ വിളിക്കുക 8️⃣1️⃣2️⃣1️⃣1️⃣0️⃣3️⃣5️⃣7️⃣,Kochi,MG Road,3 Bds , 3 Ba , 1800 ft2,"₹ 1,75,00,000"
Newly constructed two storey house for sale,A new launch beautiful house .,Kochi,Perumbadappu,3 Bds , 3 Ba , 1200 ft2,"₹ 57,00,000"
APARTMENT FOR SALE AT VYPIN.  K-RERA/PRJ/215/2020,APARTMENT FOR SALE. DESAI HOMES. ONGOING PROJECT. K-RERA/PRJ/215/2020,Kochi,Vypin,3 Bds , 2 Ba , 1069 ft2,"₹ 49,00,000"
Budgeted Apartment For Sale,Budgeted Apartment For Sale                                                 K-RERA/PRJ/215/2020,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 41,25,000"
Water front apartment for sale in dlf riverside kadavanthara,"A 3 bedroom  flat, located in kadavanthra, kochi, is available. It is an  semi-Furnished flat located in kadavanthra. Situated in a prominent locality. The flat is on 4th floor of the building. Aesthetically designed, this property has 3 bathroom(s). The property also has 1balcony(s). The flat has a good view of the locality. The flat is a freehold property and  has a carpet area of 2285 sq.Ft. The flat  offers good security. The unit has 1 covered parking and 1 open parking. Brokers please excuse",Kochi,Kadavanthara,3 Bds , 3 Ba , 2285 ft2,"₹ 1,75,00,000"
An posh house for sale at Kochi,18500 square feet 5bhk 12 yr old posh house in 33 cent  at Kochi. Asking 25cr  negotiable.. for More photos and videos please contact8️⃣1️⃣2️⃣9️⃣3️⃣9️⃣8️⃣1️⃣4️⃣1️⃣,Kochi,MG Road,4+ Bds , 4+ Ba , 25000 ft2,"₹ 25,00,00,000"
MATHER WHITE WATERS,"Located at Thevara, Kochi, Mather White Waters is inspiring in design, stirring in luxury and enveloped by verdant surroundings.",Kochi,Thevara,3 Bds , 3 Ba , 1800 ft2,"₹ 1,00,00,000"
4 BHK APARTMENT FOR SALE,"Silver Crest the premium residential apartment project from ABAD Builders, is located on Subhash Chandra Bose Road in Jawahar Nagar at Kadavanthra.",Kochi,Kadavanthara,3 Bds , 3 Ba , 2200 ft2,"₹ 1,75,00,000"
"Semi furnished 3 BHk flat for sale at Kathrikadavu, Kochi","> Near to main road (Kaloor - Kadavanthra main road) > Resale flat at good condition > Modern Amenities > Branded Builder > Spacious lobby area > 3 layer security system > Heart of Kochi City.  Pls contact for further details and site visit, Agents Pls Excuse",Kochi,Kadavanthra,3 Bds , 3 Ba , 1520 ft2,"₹ 85,00,000"
New House for Sale (Urgent). Price Negotiable,"2 Floor, 1200 sqft House in 2.5 cent land. Road Side. 3Bedroom with attached bathrooms. Modular kitchen. Lake view from terrace. 24hour water. Near Hospital, School, Bus Stop. Market.",Kochi,Perumpadappu,3 Bds , 3 Ba , 1200 ft2,"₹ 60,00,000"
Prestigious iconic tower flat Tata Tritvam offered discounted price,"The captioned property is a 3bhk+study room lower middle floor with full water front view flat in the most prestigious Iconic tower in the Tata Tritvam Project, Marine Drive extention, Kochi. The super built-up area of the unit is 2461 sft. The property belongs to an NRI and they prefer to deal with a buyer with similar status. The final price for the same is INR 275Lacs absolutely non-negotiable. Price being offered is a discounted one, just to stimulate the sales prospects and to avoid unnecessary complications usually associated with the tag line of ‘open for negotiations’.A prospect buyer is encouraged to indulge in some price research exercise and are most welcometo welcome to see the unit, if he/she are convinced about the lucrativeness of this deal. Glimse on Tritvam. Tata Tritvam is situated in the idealistic location in Marine Drive. This premium flats in Kochi lets you experience the urban comforts amidst the scenic location between the Arabian Sea and the tropical Mangalavanam Bird Sanctuary. Justifying truly to the name - Tritvam, which signifies the divine confluence of the three life elements – earth, water, and sky.Tritvam lets you feast on the best that God’s own Country - Kerala has to offer. International renowned architect Woods Bagot of Australia, construction partner Leighton Welspun Contractors Pvt. Ltd., and globally acclaimed landscape designer Made Wijaya has worked behind the creation of this six high-rise towers masterpiece - Tritvam, which offers the most exquisite lifestyle of international standards. They comprise of 3 and 4 BHK luxury apartments in Kochi each with large living spaces and balconies that offer magnificent views of the panoramic surroundings – make Tritvam undoubtedly one of the most desired property in Kochi are now open for sale. Highlights: Spread over 8.44 acres of land and having 572 units with ample ventilation over 6 independent towers with 50% open space and vehicle free green podium.Property Maintenance by CBRE, world's largest property management company.Green Building with IGBC Gold Rating Certified and 7 Star rating by CARE (Credit Analysis and Research Ltd).15,000 sq.ft Club House with Party Hall, Indoor Games, Cafeteria, Super Market, Library, Multi-gym, Yoga Center, Guest Rooms, Children's Day Care etc.",Kochi,Marine Drive,3 Bds , 4 Ba , 2461 ft2,"₹ 2,75,00,000"
Beautiful 2BHK house Fort Kochi,"House in Fort Kochi, with all necessary amenities available. Good Locality. Market, Schools, Churches, Mosque, Temple Nearby. C@II nlne elght fuor sevn fuor sevn too too elght too.",Kochi,Fort Kochi,2 Bds , 1 Ba , 980 ft2,"₹ 37,00,000"
LIG House for sale in Panampilly nagar,"2 bhk  2 hall kitchen LIG (839) In panampilly nagar  for sale   Extended , renewed, No water logging 400",Kochi,Panampilly Nagar,2 Bds , 1 Ba , 900 ft2,"₹ 40,00,000"
